Date,Revenue,ticker
2005-01-31,709,GME
2005-04-30,475,GME
2005-07-31,416,GME
2005-10-31,534,GME
2006-01-31,1667,GME
2006-04-30,1040,GME
2006-07-31,963,GME
2006-10-31,1012,GME
2007-01-31,2304,GME
2007-04-30,1279,GME
2007-07-31,1338,GME
2007-10-31,1611,GME
2008-01-31,2866,GME
2008-04-30,1814,GME
2008-07-31,1804,GME
2008-10-31,1696,GME
2009-01-31,3492,GME
2009-04-30,1981,GME
2009-07-31,1739,GME
2009-10-31,1835,GME
2010-01-31,3524,GME
2010-04-30,2083,GME
2010-07-31,1799,GME
2010-10-31,1899,GME
2011-01-31,3693,GME
2011-04-30,2281,GME
2011-07-31,1744,GME
2011-10-31,1947,GME
2012-01-31,3579,GME
2012-04-30,2002,GME
2012-07-31,1550,GME
2012-10-31,1773,GME
2013-01-31,3562,GME
2013-04-30,1865,GME
2013-07-31,1384,GME
2013-10-31,2107,GME
2014-01-31,3684,GME
2014-04-30,1996,GME
2014-07-31,1731,GME
2014-10-31,2092,GME
2015-01-31,3476,GME
2015-04-30,2061,GME
2015-07-31,1762,GME
2015-10-31,2016,GME
2016-01-31,3525,GME
2016-04-30,1972,GME
2016-07-31,1632,GME
2016-10-31,1959,GME
2017-01-31,2403,GME
2017-04-30,2046,GME
2017-07-31,1688,GME
2017-10-31,1989,GME
2018-01-31,2825,GME
2018-04-30,1786,GME
2018-07-31,1501,GME
2018-10-31,1935,GME
2019-01-31,3063,GME
2019-04-30,1548,GME
2019-07-31,1286,GME
2019-10-31,1439,GME
2020-01-31,2194,GME
2020-04-30,1021,GME
