Date,Revenue,ticker
2009-06-30,27,TSLA
2009-09-30,46,TSLA
2010-03-31,21,TSLA
2010-06-30,28,TSLA
2010-09-30,31,TSLA
2010-12-31,36,TSLA
2011-03-31,49,TSLA
2011-06-30,58,TSLA
2011-09-30,58,TSLA
2011-12-31,39,TSLA
2012-03-31,30,TSLA
2012-06-30,27,TSLA
2012-09-30,50,TSLA
2012-12-31,306,TSLA
2013-03-31,562,TSLA
2013-06-30,405,TSLA
2013-09-30,431,TSLA
2013-12-31,615,TSLA
2014-03-31,621,TSLA
2014-06-30,769,TSLA
2014-09-30,852,TSLA
2014-12-31,957,TSLA
2015-03-31,940,TSLA
2015-06-30,955,TSLA
2015-09-30,937,TSLA
2015-12-31,1214,TSLA
2016-03-31,1147,TSLA
2016-06-30,1270,TSLA
2016-09-30,2298,TSLA
2016-12-31,2285,TSLA
2017-03-31,2696,TSLA
2017-06-30,2790,TSLA
2017-09-30,2985,TSLA
2017-12-31,3288,TSLA
2018-03-31,3409,TSLA
2018-06-30,4002,TSLA
2018-09-30,6824,TSLA
2018-12-31,7226,TSLA
2019-03-31,4541,TSLA
2019-06-30,6350,TSLA
2019-09-30,6303,TSLA
2019-12-31,7384,TSLA
2020-03-31,5985,TSLA
2020-06-30,6036,TSLA
2020-09-30,8771,TSLA
2020-12-31,10744,TSLA
2021-03-31,10389,TSLA
2021-06-30,11958,TSLA
2021-09-30,13757,TSLA
2021-12-31,17719,TSLA
2022-03-31,18756,TSLA
2022-06-30,16934,TSLA
2022-09-30,21454,TSLA
